"id","zip_code","name_th","name_en","amphure_id","created_at","updated_at","deleted_at"
"110401","10130","ตลาด","Talat","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110402","10130","บางพึ่ง","Bang Phueng","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110403","10130","บางจาก","Bang Chak","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110404","10130","บางครุ","Bang Khru","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110405","10130","บางหญ้าแพรก","Bang Ya Phraek","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110406","10130","บางหัวเสือ","Bang Hua Suea","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110407","10130","สำโรงใต้","Samrong Tai","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110408","10130","บางยอ","Bang Yo","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110409","10130","บางกะเจ้า","Bang Kachao","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110410","10130","บางน้ำผึ้ง","Bang Namphueng","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110411","10130","บางกระสอบ","Bang Krasop","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110412","10130","บางกอบัว","Bang Ko Bua","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110413","10130","ทรงคนอง","Song Khanong","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110414","10130","สำโรง","Samrong","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110415","10130","สำโรงกลาง","Samrong Klang","55","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110501","10290","นาเกลือ","Na Kluea","56","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110502","10290","บ้านคลองสวน","Ban Khlong Suan","56","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110503","10290","แหลมฟ้าผ่า","Laem Fa Pha","56","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110504","10290","ปากคลองบางปลากด","Pak Klong Bang Pla Kot","56","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110505","10290","ในคลองบางปลากด","Nai Khlong Bang Pla Kot","56","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110601","10540","บางเสาธง","Bang Sao Thong","57","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110602","10540","ศีรษะจรเข้น้อย","Sisa Chorakhe Noi","57","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110603","10540","ศีรษะจรเข้ใหญ่","Sisa Chorakhe Yai","57","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120101","11000","สวนใหญ่","Suan Yai","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120102","11000","ตลาดขวัญ","Talat Khwan","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120103","11000","บางเขน","Bang Khen","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120104","11000","บางกระสอ","Bang Kraso","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120105","11000","ท่าทราย","Tha Sai","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120106","11000","บางไผ่","Bang Phai","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120107","11000","บางศรีเมือง","Bang Si Mueang","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120108","11000","บางกร่าง","Bang Krang","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120109","11000","ไทรม้า","Sai Ma","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120110","11000","บางรักน้อย","Bang Rak Noi","58","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120201","11130","วัดชลอ","Wat Chalo","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120202","11130","บางกรวย","Bang Kruai","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120203","11130","บางสีทอง","Bang Si Thong","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120204","11130","บางขนุน","Bang Khanun","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120205","11130","บางขุนกอง","Bang Khun Kong","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120206","11130","บางคูเวียง","Bang Khu Wiang","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120207","11130","มหาสวัสดิ์","Maha Sawat","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120208","11130","ปลายบาง","Plai Bang","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120209","11130","ศาลากลาง","Sala Klang","59","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120301","11140","บางม่วง","Bang Muang","60","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120302","11140","บางแม่นาง","Bang Mae Nang","60","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120303","11140","บางเลน","Bang Len","60","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120304","11140","เสาธงหิน","Sao Thong Hin","60","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120305","11140","บางใหญ่","Bang Yai","60","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120306","11140","บ้านใหม่","Ban Mai","60","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120401","11110","โสนลอย","Sano Loi","61","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120402","11110","บางบัวทอง","Bang Bua Thong","61","9/8/2019 03:33:09","9/8/2019 03:33:09",
