id,zip_code,name_th,name_en,prefix_th,prefix_en,district_id,lat,long,created_at,updated_at,deleted_at
103703,10400,ถนนเพชรบุรี,Thanon Phetchaburi,แขวง,Khwaeng,1037,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103704,10400,มักกะสัน,Makkasan,แขวง,Khwaeng,1037,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103801,10230,ลาดพร้าว,Lat Phrao,แขวง,Khwaeng,1038,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103802,10230,จรเข้บัว,Chorakhe Bua,แขวง,Khwaeng,1038,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103901,10110,คลองเตยเหนือ,Khlong Toei Nuea,แขวง,Khwaeng,1039,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103902,10110,คลองตันเหนือ,Khlong Tan Nuea,แขวง,Khwaeng,1039,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103903,10110,พระโขนงเหนือ,Phra Khanong Nuea,แขวง,Khwaeng,1039,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104001,10160,บางแค,Bang Khae,แขวง,Khwaeng,1040,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104002,10160,บางแคเหนือ,Bang Khae Nuea,แขวง,Khwaeng,1040,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104003,10160,บางไผ่,Bang Phai,แขวง,Khwaeng,1040,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104004,10160,หลักสอง,Lak Song,แขวง,Khwaeng,1040,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104101,10210,ทุ่งสองห้อง,Thung Song Hong,แขวง,Khwaeng,1041,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104102,10210,ตลาดบางเขน,Talat Bang Khen,แขวง,Khwaeng,1041,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104201,10220,สายไหม,Sai Mai,แขวง,Khwaeng,1042,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104202,10220,ออเงิน,O Ngoen,แขวง,Khwaeng,1042,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104203,10220,คลองถนน,Khlong Thanon,แขวง,Khwaeng,1042,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104301,10230,คันนายาว,Khan Na Yao,แขวง,Khwaeng,1043,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104401,10240,สะพานสูง,Sapan Sung,แขวง,Khwaeng,1044,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104501,10310,วังทองหลาง,Wang Thonglang,แขวง,Khwaeng,1045,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104601,10510,สามวาตะวันตก,Sam Wa Tawantok,แขวง,Khwaeng,1046,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104602,10510,สามวาตะวันออก,Sam Wa Tawan-ok,แขวง,Khwaeng,1046,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104603,10510,บางชัน,Bang Chan,แขวง,Khwaeng,1046,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104604,10510,ทรายกองดิน,Sai Kong Din,แขวง,Khwaeng,1046,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104605,10510,ทรายกองดินใต้,Sai Kong Din Tai,แขวง,Khwaeng,1046,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104701,10260,บางนา,Bang Na,แขวง,Khwaeng,1047,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104801,10170,ทวีวัฒนา,Thawi Watthana,แขวง,Khwaeng,1048,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104802,10170,ศาลาธรรมสพน์,Sala Thammasop,แขวง,Khwaeng,1048,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104901,10140,บางมด,Bang Mot,แขวง,Khwaeng,1049,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
104902,10140,ทุ่งครุ,Thung Khru,แขวง,Khwaeng,1049,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
105001,10150,บางบอน,Bang Bon,แขวง,Khwaeng,1050,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
110101,10270,ปากน้ำ,Pak Nam,ตำบล,Tambon,1101,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
110102,10270,สำโรงเหนือ,Samrong Nuea,ตำบล,Tambon,1101,13.649,100.617,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
110103,10270,บางเมือง,Bang Mueang,ตำบล,Tambon,1101,13.601,100.622,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
